Index,Order ID,Order Date_x,Ship Mode_x,Customer ID,Customer Name_x,Origin Channel,Country/Region,City,State,Postal Code,Region,Category,Sub-Category,Product ID,Sales,Quantity,Discount,Profit,Arrival Scan Date,Customer Name_y,Row ID,Order Date_y,On Truck Scan Date,Ship Mode_y,Ready to Ship Date,Pickup Date,delivery_time_days,total_delivery_time_days,order_Month,Order_YearMonth,order_weekday,on_truck_weekday,warehouse_time_days
5398,CA-2019-145492,2019-11-20,Standard Class,MC-17605,Matt Connell,Sales,United States,Los Angeles,California,90004.0,West,Power Muesli,Mega Protein,OFF-AP-10003622,39.0,12,0.0,11.31,2019-12-02,Matt Connell,5398.0,2019-11-20,2019-11-29,Standard Processing,,,3,12,November,2019-11,Wednesday,Friday,9
5808,CA-2019-149783,2019-09-04,Second Class,DL-13315,Delfina Latchford,Email,United States,Knoxville,Tennessee,37918.0,South,Power Muesli,Mega Protein,OFF-AP-10001205,87.168,2,0.2,8.716800000000006,2019-09-16,Delfina Latchford,5807.0,2019-09-04,2019-09-11,Standard Processing,2019-09-09,2019-09-11,5,12,September,2019-09,Wednesday,Wednesday,7
6562,CA-2020-144680,2020-03-31,First Class,SC-20260,Scott Cohen,Sales,United States,Arlington,Texas,76017.0,Central,Power Muesli,Mega Protein,OFF-AP-10003040,33.61999999999999,5,0.8,-90.77400000000004,2020-04-08,Scott Cohen,6562.0,2020-03-31,2020-04-03,Express,,,5,8,March,2020-03,Tuesday,Friday,3
6720,CA-2019-130442,2019-12-16,First Class,SF-20065,Sandra Flanagan,Email,United States,Goldsboro,North Carolina,27534.0,South,Power Muesli,Mega Protein,OFF-AP-10004859,34.944,3,0.2,3.0576000000000008,2019-12-23,Sandra Flanagan,6720.0,2019-12-16,2019-12-20,Express,,,3,7,December,2019-12,Monday,Friday,4
6985,CA-2019-116526,2019-09-01,Standard Class,JA-15970,Joseph Airdo,Email,United States,Detroit,Michigan,48227.0,Central,Power Muesli,Mega Protein,OFF-AP-10002457,376.74,4,0.1,71.16199999999998,2019-09-12,Joseph Airdo,6983.0,2019-09-01,2019-09-09,Standard Processing,,,3,11,September,2019-09,Sunday,Monday,8
7272,CA-2019-123337,2019-09-16,Standard Class,KD-16495,Keith Dawkins,Sales,United States,San Jose,California,95123.0,West,Power Muesli,Mega Protein,OFF-AP-10002287,17.48,4,0.0,4.5448,2019-09-27,Keith Dawkins,7271.0,2019-09-16,2019-09-25,Standard Processing,,,2,11,September,2019-09,Monday,Wednesday,9
7467,CA-2019-138282,2019-05-19,Standard Class,AH-10690,Anna Häberlin,Sales,United States,Los Angeles,California,90008.0,West,Power Muesli,Mega Protein,OFF-AP-10001366,87.84,8,0.0,23.716800000000006,2019-05-31,Anna Häberlin,7467.0,2019-05-19,2019-05-28,Standard Processing,,,3,12,May,2019-05,Sunday,Tuesday,9
7723,US-2020-138086,2020-04-16,Standard Class,JO-15550,Jesus Ocampo,Facebook,United States,San Francisco,California,94109.0,West,Power Muesli,Mega Protein,OFF-AP-10000027,40.74,3,0.0,12.222,2020-04-27,Jesus Ocampo,7723.0,2020-04-16,2020-04-22,Standard Processing,,,5,11,April,2020-04,Thursday,Wednesday,6
7725,CA-2019-113978,2019-09-25,Standard Class,TS-21505,Tony Sayre,Email,United States,Cleveland,Ohio,44105.0,East,Power Muesli,Mega Protein,OFF-AP-10003849,286.25600000000003,1,0.2,17.890999999999977,2019-10-07,Tony Sayre,7725.0,2019-09-25,2019-10-02,Standard Processing,,,5,12,September,2019-09,Wednesday,Wednesday,7
8046,CA-2019-145611,2019-09-20,Standard Class,HA-14905,Helen Abelman,Email,United States,New York City,New York,10035.0,East,Power Muesli,Mega Protein,OFF-AP-10001005,393.25,5,0.0,129.77249999999998,2019-09-30,Helen Abelman,8046.0,2019-09-20,2019-09-25,Standard Processing,2019-09-24,2019-09-25,5,10,September,2019-09,Friday,Wednesday,5
8113,CA-2019-130393,2019-12-01,Second Class,JM-15865,John Murray,Email,United States,San Angelo,Texas,76903.0,Central,Power Muesli,Mega Protein,OFF-AP-10004859,11.647999999999998,4,0.8,-30.867200000000004,2019-12-09,John Murray,8112.0,2019-12-01,2019-12-06,Standard Processing,,,3,8,December,2019-12,Sunday,Friday,5
8395,CA-2019-142594,2019-12-01,Second Class,EJ-14155,Eva Jacobs,Email,United States,Franklin,Massachusetts,2038.0,East,Power Muesli,Mega Protein,OFF-AP-10002945,901.95,3,0.0,297.6435,2019-12-13,Eva Jacobs,8393.0,2019-12-01,2019-12-11,Standard Processing,,,2,12,December,2019-12,Sunday,Wednesday,10
8891,CA-2019-147256,2019-10-17,Second Class,FC-14245,Frank Carlisle,Facebook,United States,Columbia,Missouri,65203.0,Central,Power Muesli,Mega Protein,OFF-AP-10003057,1927.59,7,0.0,751.7601000000001,2019-10-28,Frank Carlisle,8890.0,2019-10-17,2019-10-23,Standard Processing,,,5,11,October,2019-10,Thursday,Wednesday,6
8917,US-2019-144057,2019-05-09,Standard Class,CV-12805,Cynthia Voltz,Sales,United States,Austin,Texas,78745.0,Central,Power Muesli,Mega Protein,OFF-AP-10000390,48.78399999999999,4,0.8,-131.7168,2019-05-20,Cynthia Voltz,8915.0,2019-05-09,2019-05-15,Standard Processing,,,5,11,May,2019-05,Thursday,Wednesday,6
9087,CA-2019-143406,2019-09-26,Standard Class,LR-17035,Lisa Ryan,Sales,United States,Houston,Texas,77041.0,Central,Power Muesli,Mega Protein,OFF-AP-10001564,93.03199999999998,2,0.8,-251.18640000000005,2019-10-07,Lisa Ryan,9087.0,2019-09-26,2019-10-02,Standard Processing,,,5,11,September,2019-09,Thursday,Wednesday,6
9228,CA-2020-140515,2020-03-19,Standard Class,GZ-14545,George Zrebassa,Sales,United States,Los Angeles,California,90008.0,West,Power Muesli,Mega Protein,OFF-AP-10001205,381.36,7,0.0,106.78080000000004,2020-03-30,George Zrebassa,9228.0,2020-03-19,2020-03-25,Standard Processing,,,5,11,March,2020-03,Thursday,Wednesday,6
9520,US-2020-104451,2020-05-08,Second Class,MM-18055,Michelle Moray,Email,United States,San Francisco,California,94110.0,West,Power Muesli,Mega Protein,OFF-AP-10000692,81.08,4,0.0,22.702400000000004,2020-05-15,Michelle Moray,9520.0,2020-05-08,2020-05-13,Standard Processing,,,2,7,May,2020-05,Friday,Wednesday,5
612,CA-2019-161816,2019-04-28,First Class,NB-18655,Nona Balk,Sales,United States,Dallas,Texas,75217.0,Central,Power Muesli,No Taste All Power,OFF-LA-10004345,15.712000000000002,4,0.2,5.695599999999999,2019-05-07,Nona Balk,611.0,2019-04-28,2019-05-03,Express,,,4,9,April,2019-04,Sunday,Friday,5
732,US-2019-150861,2019-12-03,First Class,EG-13900,Emily Grady,Email,United States,Oceanside,New York,11572.0,East,Power Muesli,No Taste All Power,OFF-LA-10001317,6.3,2,0.0,3.024,2019-12-09,Emily Grady,728.0,2019-12-03,2019-12-06,Express,,,3,6,December,2019-12,Tuesday,Friday,3
965,CA-2020-135279,2020-04-09,First Class,BS-11800,Bryan Spruell,Facebook,United States,New York City,New York,10011.0,East,Power Muesli,No Taste All Power,OFF-LA-10004055,9.82,2,0.0,4.8118,2020-04-17,Bryan Spruell,965.0,2020-04-09,2020-04-13,Express,,,4,8,April,2020-04,Thursday,Monday,4
1459,CA-2019-123722,2019-09-25,Standard Class,NH-18610,Nicole Hansen,Sales,United States,Irving,Texas,75061.0,Central,Power Muesli,No Taste All Power,OFF-LA-10001569,15.936000000000002,4,0.2,5.1792,2019-10-07,Nicole Hansen,1459.0,2019-09-25,2019-10-02,Standard Processing,,,5,12,September,2019-09,Wednesday,Wednesday,7
2504,CA-2019-149482,2019-11-14,Standard Class,RR-19315,Ralph Ritter,Email,United States,San Francisco,California,94110.0,West,Power Muesli,No Taste All Power,OFF-LA-10000248,7.38,2,0.0,3.4686,2019-11-25,Ralph Ritter,2504.0,2019-11-14,2019-11-20,Standard Processing,,,5,11,November,2019-11,Thursday,Wednesday,6
4372,US-2019-165078,2019-11-05,Standard Class,MA-17995,Michelle Arnett,Facebook,United States,Lawrence,Indiana,46226.0,Central,Power Muesli,No Taste All Power,OFF-LA-10000414,51.75,5,0.0,24.84,2019-11-18,Michelle Arnett,4370.0,2019-11-05,2019-11-13,Standard Processing,,,5,13,November,2019-11,Tuesday,Wednesday,8
4666,CA-2019-116232,2019-09-22,Standard Class,AC-10450,Amy Cox,Email,United States,Pembroke Pines,Florida,33024.0,South,Power Muesli,No Taste All Power,OFF-LA-10001158,16.56,2,0.2,5.796,2019-10-04,Amy Cox,4665.0,2019-09-22,2019-09-30,Standard Processing,,,4,12,September,2019-09,Sunday,Monday,8
5214,CA-2019-145898,2019-09-26,First Class,CM-12445,Chuck Magee,Email,United States,Redlands,California,92374.0,West,Power Muesli,No Taste All Power,OFF-LA-10000262,7.83,3,0.0,3.6018,2019-10-01,Chuck Magee,5213.0,2019-09-26,2019-09-27,Express,,,4,5,September,2019-09,Thursday,Friday,1
5699,CA-2019-143441,2019-11-05,First Class,EB-14170,Evan Bailliet,Email,United States,Laredo,Texas,78041.0,Central,Power Muesli,No Taste All Power,OFF-LA-10002312,11.840000000000002,1,0.2,4.44,2019-11-11,Evan Bailliet,5699.0,2019-11-05,2019-11-06,Express,,,5,6,November,2019-11,Tuesday,Wednesday,1
5767,CA-2019-149685,2019-10-08,Standard Class,PM-19135,Peter McVee,Facebook,United States,San Antonio,Texas,78207.0,Central,Power Muesli,No Taste All Power,OFF-LA-10004545,60.144000000000005,6,0.2,20.298599999999997,2019-10-21,Peter McVee,5767.0,2019-10-08,2019-10-16,Standard Processing,,,5,13,October,2019-10,Tuesday,Wednesday,8
7252,CA-2019-116764,2019-08-27,Standard Class,EM-13825,Elizabeth Moffitt,Sales,United States,Hollywood,Florida,33021.0,South,Power Muesli,No Taste All Power,OFF-LA-10002473,9.216,4,0.2,3.3408,2019-09-09,Elizabeth Moffitt,7252.0,2019-08-27,2019-09-04,Standard Processing,,,5,13,August,2019-08,Tuesday,Wednesday,8
7851,CA-2019-104311,2019-05-02,Standard Class,AS-10090,Adam Shillingsburg,Email,United States,Irving,Texas,75061.0,Central,Power Muesli,No Taste All Power,OFF-LA-10000973,5.04,2,0.2,1.764,2019-05-13,Adam Shillingsburg,7849.0,2019-05-02,2019-05-08,Standard Processing,,,5,11,May,2019-05,Thursday,Wednesday,6
8580,CA-2019-111605,2019-12-27,Standard Class,JW-15955,Joni Wasserman,Email,United States,Louisville,Kentucky,40214.0,South,Power Muesli,No Taste All Power,OFF-LA-10002368,2.61,1,0.0,1.2006,2020-01-08,Joni Wasserman,8580.0,2019-12-27,2020-01-03,Standard Processing,,,5,12,December,2019-12,Friday,Friday,7
9611,CA-2019-130638,2019-05-16,Second Class,SC-20095,Sanjit Chand,Email,United States,Los Angeles,California,90045.0,West,Power Muesli,No Taste All Power,OFF-LA-10002195,27.72,9,0.0,13.3056,2019-05-27,Sanjit Chand,9610.0,2019-05-16,2019-05-22,Standard Processing,,,5,11,May,2019-05,Thursday,Wednesday,6
161,CA-2019-162733,2019-05-11,First Class,TT-21070,Ted Trevino,Email,United States,Los Angeles,California,90045.0,West,Power Muesli,Nuts and more,OFF-PA-10002751,5.98,1,0.0,2.691,2019-05-20,Ted Trevino,161.0,2019-05-11,2019-05-15,Express,,,5,9,May,2019-05,Saturday,Wednesday,4
359,CA-2019-130001,2019-04-23,Standard Class,HK-14890,Heather Kirkland,Sales,United States,Charlotte,North Carolina,28205.0,South,Power Muesli,Nuts and more,OFF-PA-10002666,36.24000000000001,5,0.2,11.324999999999996,2019-05-03,Heather Kirkland,359.0,2019-04-23,2019-05-01,Standard Processing,,,2,10,April,2019-04,Tuesday,Wednesday,8
505,US-2019-105578,2019-05-30,Standard Class,MY-17380,Maribeth Yedwab,Sales,United States,Parker,Colorado,80134.0,West,Power Muesli,Nuts and more,OFF-PA-10000357,32.792,1,0.2,11.8871,2019-06-10,Maribeth Yedwab,501.0,2019-05-30,2019-06-05,Standard Processing,,,5,11,May,2019-05,Thursday,Wednesday,6
518,CA-2020-127432,2020-01-22,Standard Class,AD-10180,Alan Dominguez,Facebook,United States,Great Falls,Montana,59405.0,West,Power Muesli,Nuts and more,OFF-PA-10001667,11.96,2,0.0,5.382,2020-02-03,Alan Dominguez,516.0,2020-01-22,2020-01-29,Standard Processing,,,5,12,January,2020-01,Wednesday,Wednesday,7
613,CA-2019-121223,2019-09-11,Second Class,GD-14590,Giulietta Dortch,Sales,United States,Philadelphia,Pennsylvania,19143.0,East,Power Muesli,Nuts and more,OFF-PA-10001204,8.448,2,0.2,2.64,2019-09-19,Giulietta Dortch,613.0,2019-09-11,2019-09-16,Standard Processing,2019-09-13,2019-09-16,3,8,September,2019-09,Wednesday,Monday,5
1034,CA-2019-109820,2019-11-20,First Class,AG-10390,Allen Goldenen,Email,United States,Cincinnati,Ohio,45231.0,East,Power Muesli,Nuts and more,OFF-PA-10000955,15.696000000000002,3,0.2,5.1012,2019-11-25,Allen Goldenen,1034.0,2019-11-20,2019-11-22,Express,,,3,5,November,2019-11,Wednesday,Friday,2
1072,CA-2019-152814,2019-04-28,Standard Class,EH-14005,Erica Hernandez,Facebook,United States,Denver,Colorado,80219.0,West,Power Muesli,Nuts and more,OFF-PA-10001970,29.472,3,0.2,9.946799999999998,2019-05-10,Erica Hernandez,1072.0,2019-04-28,2019-05-06,Standard Processing,,,4,12,April,2019-04,Sunday,Monday,8
1340,CA-2020-100524,2020-03-31,Second Class,CM-12115,Chad McGuire,Email,United States,New York City,New York,10011.0,East,Power Muesli,Nuts and more,OFF-PA-10004911,75.04,8,0.0,36.019200000000005,2020-04-07,Chad McGuire,1338.0,2020-03-31,2020-04-03,Standard Processing,,,4,7,March,2020-03,Tuesday,Friday,3
1358,CA-2019-145247,2019-05-05,First Class,ND-18370,Natalie DeCherney,Email,United States,Louisville,Kentucky,40214.0,South,Power Muesli,Nuts and more,OFF-PA-10003641,79.14,3,0.0,36.4044,2019-05-10,Natalie DeCherney,1358.0,2019-05-05,2019-05-08,Express,,,2,5,May,2019-05,Sunday,Wednesday,3
1480,US-2019-108455,2019-12-02,Standard Class,MK-18160,Mike Kennedy,Email,United States,San Francisco,California,94122.0,West,Power Muesli,Nuts and more,OFF-PA-10002262,25.92,4,0.0,12.4416,2019-12-16,Mike Kennedy,1480.0,2019-12-02,2019-12-11,Standard Processing,,,5,14,December,2019-12,Monday,Wednesday,9
1578,CA-2019-154403,2019-05-23,Standard Class,AP-10720,Anne Pryor,Facebook,United States,Florence,Alabama,35630.0,South,Power Muesli,Nuts and more,OFF-PA-10001526,4.98,1,0.0,2.4402000000000004,2019-06-03,Anne Pryor,1578.0,2019-05-23,2019-05-29,Standard Processing,,,5,11,May,2019-05,Thursday,Wednesday,6
1620,US-2019-118780,2019-09-10,Second Class,PN-18775,Parhena Norris,Facebook,United States,New York City,New York,10011.0,East,Power Muesli,Nuts and more,OFF-PA-10000575,6.69,1,0.0,3.0774,2019-09-23,Parhena Norris,1619.0,2019-09-10,2019-09-18,Standard Processing,2019-09-16,2019-09-18,5,13,September,2019-09,Tuesday,Wednesday,8
1846,US-2020-158512,2020-01-12,Second Class,DA-13450,Dianna Arnett,Facebook,United States,Washington,District of Columbia,20016.0,East,Power Muesli,Nuts and more,OFF-PA-10001804,40.08,6,0.0,19.2384,2020-01-27,Dianna Arnett,1846.0,2020-01-12,2020-01-22,Standard Processing,,,5,15,January,2020-01,Sunday,Wednesday,10
1894,CA-2019-100083,2019-11-24,Standard Class,CD-11980,Carol Darley,Email,United States,Medford,Oregon,97504.0,West,Power Muesli,Nuts and more,OFF-PA-10000241,24.784,1,0.2,7.744999999999998,2019-12-09,Carol Darley,1894.0,2019-11-24,2019-12-04,Standard Processing,,,5,15,November,2019-11,Sunday,Wednesday,10
2015,CA-2019-145905,2019-09-18,Standard Class,AM-10705,Anne McFarland,Email,United States,Auburn,Alabama,36830.0,South,Power Muesli,Nuts and more,OFF-PA-10000533,13.08,2,0.0,6.0168,2019-09-30,Anne McFarland,2014.0,2019-09-18,2019-09-25,Standard Processing,,,5,12,September,2019-09,Wednesday,Wednesday,7
2176,CA-2019-125738,2019-10-15,Standard Class,PB-18805,Patrick Bzostek,Facebook,United States,Salt Lake City,Utah,84106.0,West,Power Muesli,Nuts and more,OFF-PA-10000740,45.68,2,0.0,21.0128,2019-10-28,Patrick Bzostek,2176.0,2019-10-15,2019-10-23,Standard Processing,,,5,13,October,2019-10,Tuesday,Wednesday,8
2286,CA-2019-112676,2019-05-05,First Class,PJ-18835,Patrick Jones,Sales,United States,Murfreesboro,Tennessee,37130.0,South,Power Muesli,Nuts and more,OFF-PA-10003971,14.352000000000002,3,0.2,5.2026,2019-05-14,Patrick Jones,2286.0,2019-05-05,2019-05-10,Express,,,4,9,May,2019-05,Sunday,Friday,5
2643,CA-2019-124051,2019-12-29,First Class,KA-16525,Kelly Andreada,Email,United States,Aurora,Illinois,60505.0,Central,Power Muesli,Nuts and more,OFF-PA-10001289,186.048,6,0.2,67.44239999999999,2020-01-06,Kelly Andreada,2643.0,2019-12-29,2020-01-03,Express,,,3,8,December,2019-12,Sunday,Friday,5
2692,US-2019-144211,2019-08-28,Standard Class,CS-12130,Chad Sievert,Email,United States,Englewood,Colorado,80112.0,West,Power Muesli,Nuts and more,OFF-PA-10002246,15.48,3,0.2,5.6115,2019-09-09,Chad Sievert,2692.0,2019-08-28,2019-09-04,Standard Processing,,,5,12,August,2019-08,Wednesday,Wednesday,7
3170,CA-2019-138695,2019-05-28,Standard Class,KC-16675,Kimberly Carter,Sales,United States,Tallahassee,Florida,32303.0,South,Power Muesli,Nuts and more,OFF-PA-10001667,62.19200000000001,13,0.2,19.434999999999995,2019-06-10,Kimberly Carter,3169.0,2019-05-28,2019-06-05,Standard Processing,,,5,13,May,2019-05,Tuesday,Wednesday,8
3411,CA-2019-100244,2019-09-20,Standard Class,GM-14695,Greg Maxwell,Sales,United States,San Francisco,California,94122.0,West,Power Muesli,Nuts and more,OFF-PA-10001471,65.78999999999999,9,0.0,30.2634,2019-09-30,Greg Maxwell,3411.0,2019-09-20,2019-09-25,Standard Processing,2019-09-24,2019-09-25,5,10,September,2019-09,Friday,Wednesday,5
3480,CA-2019-131289,2019-12-08,Standard Class,SP-20620,Stefania Perrino,Sales,United States,San Francisco,California,94110.0,West,Power Muesli,Nuts and more,OFF-PA-10003363,45.36,7,0.0,21.772800000000004,2019-12-23,Stefania Perrino,3479.0,2019-12-08,2019-12-18,Standard Processing,,,5,15,December,2019-12,Sunday,Wednesday,10
3735,CA-2020-168193,2020-03-06,Second Class,RM-19750,Roland Murray,Email,United States,New York City,New York,10011.0,East,Power Muesli,Nuts and more,OFF-PA-10002254,26.38,1,0.0,12.134799999999998,2020-03-20,Roland Murray,3735.0,2020-03-06,2020-03-13,Standard Processing,,,7,14,March,2020-03,Friday,Friday,7
3945,CA-2019-133144,2019-05-16,Second Class,DO-13435,Denny Ordway,Email,United States,Los Angeles,California,90036.0,West,Power Muesli,Nuts and more,OFF-PA-10004971,17.34,3,0.0,8.4966,2019-05-27,Denny Ordway,3945.0,2019-05-16,2019-05-22,Standard Processing,,,5,11,May,2019-05,Thursday,Wednesday,6
4081,CA-2019-140417,2019-09-25,Standard Class,KE-16420,Katrina Edelman,Sales,United States,Tigard,Oregon,97224.0,West,Power Muesli,Nuts and more,OFF-PA-10000380,60.048,9,0.2,22.518,2019-10-07,Katrina Edelman,4081.0,2019-09-25,2019-10-02,Standard Processing,,,5,12,September,2019-09,Wednesday,Wednesday,7
4361,CA-2019-127642,2019-05-21,First Class,CP-12340,Christine Phan,Sales,United States,Warwick,Rhode Island,2886.0,East,Power Muesli,Nuts and more,OFF-PA-10000565,111.96,2,0.0,54.8604,2019-05-27,Christine Phan,4361.0,2019-05-21,2019-05-24,Express,,,3,6,May,2019-05,Tuesday,Friday,3
4407,CA-2019-100041,2019-11-20,Standard Class,BF-10975,Barbara Fisher,Sales,United States,Columbus,Indiana,47201.0,Central,Power Muesli,Nuts and more,OFF-PA-10001622,9.08,2,0.0,4.085999999999999,2019-12-02,Barbara Fisher,4407.0,2019-11-20,2019-11-27,Standard Processing,,,5,12,November,2019-11,Wednesday,Wednesday,7
4798,US-2019-148901,2019-05-14,Standard Class,MK-17905,Michael Kennedy,Sales,United States,Jacksonville,Florida,32216.0,South,Power Muesli,Nuts and more,OFF-PA-10004983,31.104000000000006,6,0.2,10.8864,2019-05-27,Michael Kennedy,4797.0,2019-05-14,2019-05-22,Standard Processing,,,5,13,May,2019-05,Tuesday,Wednesday,8
4815,CA-2019-111696,2019-05-08,First Class,TB-21625,Trudy Brown,Email,United States,Los Angeles,California,90004.0,West,Power Muesli,Nuts and more,OFF-PA-10002751,17.94,3,0.0,8.073,2019-05-13,Trudy Brown,4815.0,2019-05-08,2019-05-10,Express,,,3,5,May,2019-05,Wednesday,Friday,2
4975,CA-2019-164896,2019-11-07,Standard Class,PS-19045,Penelope Sewall,Facebook,United States,Oceanside,California,92054.0,West,Power Muesli,Nuts and more,OFF-PA-10002246,12.9,2,0.0,6.321,2019-11-18,Penelope Sewall,4975.0,2019-11-07,2019-11-13,Standard Processing,,,5,11,November,2019-11,Thursday,Wednesday,6
4987,CA-2019-149279,2019-04-24,Standard Class,CL-12700,Craig Leslie,Facebook,United States,Colorado Springs,Colorado,80906.0,West,Power Muesli,Nuts and more,OFF-PA-10003441,15.552000000000003,3,0.2,5.4432,2019-05-06,Craig Leslie,4987.0,2019-04-24,2019-05-01,Standard Processing,,,5,12,April,2019-04,Wednesday,Wednesday,7
5507,US-2019-162026,2019-10-08,First Class,JE-15745,Joel Eaton,Email,United States,Los Angeles,California,90036.0,West,Power Muesli,Nuts and more,OFF-PA-10000167,61.96,2,0.0,27.882,2019-10-14,Joel Eaton,5507.0,2019-10-08,2019-10-09,Express,,,5,6,October,2019-10,Tuesday,Wednesday,1
5682,CA-2019-141551,2019-09-24,Standard Class,BP-11230,Benjamin Patterson,Email,United States,Broken Arrow,Oklahoma,74012.0,Central,Power Muesli,Nuts and more,OFF-PA-10001569,6.48,1,0.0,3.1104000000000003,2019-10-07,Benjamin Patterson,5681.0,2019-09-24,2019-10-02,Standard Processing,2019-09-30,2019-10-02,5,13,September,2019-09,Tuesday,Wednesday,8
5862,CA-2019-101525,2019-05-01,Second Class,CM-12235,Chris McAfee,Email,United States,Little Rock,Arkansas,72209.0,South,Power Muesli,Nuts and more,OFF-PA-10001497,109.92,2,0.0,53.8608,2019-05-13,Chris McAfee,5862.0,2019-05-01,2019-05-08,Standard Processing,,,5,12,May,2019-05,Wednesday,Wednesday,7
5882,CA-2019-133935,2019-09-18,Standard Class,JW-15220,Jane Waco,Sales,United States,San Diego,California,92105.0,West,Power Muesli,Nuts and more,OFF-PA-10000100,368.91,9,0.0,180.7659,2019-09-30,Jane Waco,5881.0,2019-09-18,2019-09-25,Standard Processing,,,5,12,September,2019-09,Wednesday,Wednesday,7
6138,US-2019-142251,2019-10-31,Second Class,FO-14305,Frank Olsen,Email,United States,Hollywood,Florida,33021.0,South,Power Muesli,Nuts and more,OFF-PA-10002986,32.064,6,0.2,11.2224,2019-11-11,Frank Olsen,6138.0,2019-10-31,2019-11-06,Standard Processing,,,5,11,October,2019-10,Thursday,Wednesday,6
6428,CA-2019-143714,2019-05-23,Standard Class,CC-12370,Christopher Conant,Email,United States,Philadelphia,Pennsylvania,19120.0,East,Power Muesli,Nuts and more,OFF-PA-10000029,10.368000000000002,2,0.2,3.6288,2019-06-03,Christopher Conant,6426.0,2019-05-23,2019-05-29,Standard Processing,,,5,11,May,2019-05,Thursday,Wednesday,6
6573,CA-2019-161543,2019-05-10,Standard Class,RD-19720,Roger Demir,Email,United States,Seattle,Washington,98105.0,West,Power Muesli,Nuts and more,OFF-PA-10003971,11.96,2,0.0,5.8604,2019-05-22,Roger Demir,6573.0,2019-05-10,2019-05-17,Standard Processing,,,5,12,May,2019-05,Friday,Friday,7
6580,CA-2019-169887,2019-10-22,First Class,MS-17530,MaryBeth Skach,Email,United States,Seattle,Washington,98105.0,West,Power Muesli,Nuts and more,OFF-PA-10003001,6.68,1,0.0,3.2064,2019-10-28,MaryBeth Skach,6580.0,2019-10-22,2019-10-23,Express,,,5,6,October,2019-10,Tuesday,Wednesday,1
6698,US-2019-155103,2019-12-02,Standard Class,JF-15190,Jamie Frazer,Email,United States,New York City,New York,10024.0,East,Power Muesli,Nuts and more,OFF-PA-10000062,54.96,1,0.0,26.9304,2019-12-16,Jamie Frazer,6696.0,2019-12-02,2019-12-11,Standard Processing,,,5,14,December,2019-12,Monday,Wednesday,9
6775,CA-2019-119018,2019-11-04,Standard Class,CW-11905,Carl Weiss,Facebook,United States,Los Angeles,California,90004.0,West,Power Muesli,Nuts and more,OFF-PA-10000295,38.88,6,0.0,18.6624,2019-11-18,Carl Weiss,6773.0,2019-11-04,2019-11-12,Standard Processing,,,6,14,November,2019-11,Monday,Tuesday,8
6847,US-2019-159093,2019-05-09,Standard Class,RS-19420,Ricardo Sperren,Sales,United States,Los Angeles,California,90036.0,West,Power Muesli,Nuts and more,OFF-PA-10001260,32.04,4,0.0,14.418,2019-05-21,Ricardo Sperren,6847.0,2019-05-09,2019-05-15,Standard Processing,,,6,12,May,2019-05,Thursday,Wednesday,6
6980,CA-2020-149076,2020-01-14,Standard Class,SO-20335,Sean O'Donnell,Email,United States,Los Angeles,California,90036.0,West,Power Muesli,Nuts and more,OFF-PA-10000483,154.9,5,0.0,69.705,2020-01-27,Sean O'Donnell,6980.0,2020-01-14,2020-01-22,Standard Processing,,,5,13,January,2020-01,Tuesday,Wednesday,8
7029,US-2019-157840,2019-12-20,Second Class,MC-17575,Matt Collins,Email,United States,Fremont,Nebraska,68025.0,Central,Power Muesli,Nuts and more,OFF-PA-10003673,33.9,5,0.0,15.594,2019-12-30,Matt Collins,7029.0,2019-12-20,2019-12-24,Standard Processing,,,6,10,December,2019-12,Friday,Tuesday,4
7067,CA-2019-147473,2019-05-30,Standard Class,NL-18310,Nancy Lomonaco,Facebook,United States,Los Angeles,California,90049.0,West,Power Muesli,Nuts and more,OFF-PA-10004782,38.88,6,0.0,18.6624,2019-06-07,Nancy Lomonaco,7067.0,2019-05-30,2019-06-05,Standard Processing,,,2,8,May,2019-05,Thursday,Wednesday,6
7069,CA-2019-114209,2019-05-21,Standard Class,AS-10285,Alejandro Savely,Sales,United States,Dallas,Texas,75081.0,Central,Power Muesli,Nuts and more,OFF-PA-10003591,82.656,9,0.2,30.996,2019-06-03,Alejandro Savely,7068.0,2019-05-21,2019-05-29,Standard Processing,,,5,13,May,2019-05,Tuesday,Wednesday,8
7641,CA-2020-104885,2020-03-02,Standard Class,DB-13555,Dorothy Badders,Sales,United States,Newark,Delaware,19711.0,East,Power Muesli,Nuts and more,OFF-PA-10002764,68.03999999999999,6,0.0,33.3396,2020-03-16,Dorothy Badders,7638.0,2020-03-02,2020-03-11,Standard Processing,,,5,14,March,2020-03,Monday,Wednesday,9
7734,CA-2019-165673,2019-05-15,Second Class,MN-17935,Michael Nguyen,Email,United States,Springfield,Ohio,45503.0,East,Power Muesli,Nuts and more,OFF-PA-10000697,15.232,4,0.2,5.521599999999999,2019-05-27,Michael Nguyen,7734.0,2019-05-15,2019-05-22,Standard Processing,,,5,12,May,2019-05,Wednesday,Wednesday,7
7869,CA-2019-136994,2019-05-27,Standard Class,LS-17245,Lynn Smith,Email,United States,Los Angeles,California,90045.0,West,Power Muesli,Nuts and more,OFF-PA-10000575,13.38,2,0.0,6.1548,2019-06-10,Lynn Smith,7869.0,2019-05-27,2019-06-05,Standard Processing,,,5,14,May,2019-05,Monday,Wednesday,9
